Fc      Vc      Fe      Ve
-0.0611 0.0493  0.0339  0.0441
-0.1427 0.0915  0.1017  0.1124
-0.2242 0.1234  0.1696  0.1632
-0.3057 0.1488  0.2374  0.2024
-0.3872 0.1632  0.3052  0.2410
-0.4687 0.1874  0.3731  0.2569
